,J TYPE,DEL TIME,HAZ,DRIVING_TIME,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,co2 LBS
34,EXP,12:00,-1,524,HARTLEPOOL,J&B RECYCLING,SOUTH SHIELDS,792.5716800000001
35,IMP,17:00,-1,524,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,792.5716800000001
36,TRU,23:59,-1,524,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,792.5716800000001
37,TRU,23:59,-1,524,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,792.5716800000001
38,IMP,7:00,-1,733,WASHINGTON,VANTEC EUROPE LTD,SOUTH SHIELDS,1302.95184
39,IMP,11:00,-1,733,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1302.95184
40,CUR,16:00,-1,733,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1302.95184
41,TRU,23:59,-1,733,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,1302.95184
42,TRU,23:59,-1,733,CANNOCK-CC - extra,PENTALVER CANNOCK,SOUTH SHIELDS,1302.95184
43,IMP,7:00,-1,618,SOUTH SHIELDS,SHED NO 20,SOUTH SHIELDS,1095.9408
44,CUR,9:00,-1,618,NORTH SHIELDS,FORMICA GROUP,SOUTH SHIELDS,1095.9408
45,CUR,11:00,-1,618,BLYTH,APS LTD,SOUTH SHIELDS,1095.9408
46,IMP,7:00,-1,451,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,662.5941600000001
47,IMP,10:00,-1,451,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,662.5941600000001
48,MT,10:30,-1,451,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,662.5941600000001
49,CUR,14:00,-1,451,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,662.5941600000001
50,PTP,7:15,-1,524,WORKSOP,WILKINSON,SOUTH SHIELDS,938.96184
51,PTP,9:00,-1,524,LUTTERWORTH,WINCANTON FOR BRITVIC,SOUTH SHIELDS,938.96184
52,PTP,11:00,-1,524,DAVENTRY,WOODVALE STUDIOS LIMITED,SOUTH SHIELDS,938.96184
53,IMP,8:00,-1,655,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1146.50232
54,IMP,9:00,-1,742,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1408.83984
55,EXP,13:00,-1,742,DARLINGTON,ALDI DARLINGTON,Leeds,1408.83984
56,TRU,23:59,-1,742,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,1408.83984
57,TRU,23:59,-1,742,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,1408.83984
58,PTP,9:30,-1,1001,WORKSOP,WILKINSON,SOUTH SHIELDS,1794.00744
59,PTP,11:00,-1,1001,WORKSOP,WILKINSON,SOUTH SHIELDS,1794.00744
